Name,Age,Height,Village,Rank,Nature
Konohamaru,12,142cm,Leaf,Genin,Fire
Moegi,12,135cm,Leaf,Genin,Wood
Udon,12,140cm,Leaf,Genin,Wind
Ebisu,28,181cm,Leaf,Jonin,Fire
Genma,30,181cm,Leaf,Jonin,Wind
Raidō,30,181cm,Leaf,Jonin,Lightning
Aoba,30,181cm,Leaf,Jonin,Wind
Ibiki,30,193cm,Leaf,Jonin,Fire
Anko,24,167cm,Leaf,Jonin,Fire
Hayate,23,175cm,Leaf,Jonin,Wind
Kotetsu,24,167cm,Leaf,Chunin,Water
Izumo,24,169cm,Leaf,Chunin,Water
Homura,73,Unknown,Leaf,Elder,Fire
Koharu,72,Unknown,Leaf,Elder,Fire
Shizune,31,168cm,Leaf,Jonin,Water
Might Guy,30,184cm,Leaf,Jonin,Fire
Fugaku,Unknown,175cm,Leaf,Jonin,Fire
Mikoto,Unknown,162cm,Leaf,Unknown,Fire
Hizashi,Unknown,176cm,Leaf,Jonin,Lightning
Hiashi,46,176cm,Leaf,Jonin,Lightning
Hanabi,13,148cm,Leaf,Genin,Lightning
Torune,Unknown,Unknown,Leaf,Anbu,Unknown
Fu,Unknown,Unknown,Leaf,Anbu,Unknown
Chiyo,73,149cm,Sand,Jonin,Wind
Ebizo,Unknown,Unknown,Sand,Jonin,Wind
Rasa,Unknown,185cm,Sand,Kage,Magnet
Yashamaru,Unknown,Unknown,Sand,Jonin,Wind
Pakura,Unknown,165cm,Sand,Jonin,Scorch
Maki,Unknown,Unknown,Sand,Jonin,Wind
Karura,Unknown,Unknown,Sand,Unknown,Wind
Gengetsu,Unknown,Unknown,Mist,Kage,Water
Yagura,Unknown,143cm,Mist,Kage,Water
Zabuza,26,183cm,Mist,Missing-nin,Water
Haku,15,155cm,Mist,Missing-nin,Ice
Mangetsu,Unknown,Unknown,Mist,Jonin,Water
Utakatа,26,179cm,Mist,Missing-nin,Water
Fuguki,Unknown,Unknown,Mist,Missing-nin,Water
Ameyuri,Unknown,Unknown,Mist,Missing-nin,Lightning
Jinin,Unknown,Unknown,Mist,Missing-nin,Water
Jinpachi,Unknown,Unknown,Mist,Missing-nin,Explosion
Kushimaru,Unknown,Unknown,Mist,Missing-nin,Water
Mu,Unknown,Unknown,Stone,Kage,Dust
Onoki,79,130cm,Stone,Kage,Dust
Kurotsuchi,18,Unknown,Stone,Jonin,Earth
Akatsuchi,Unknown,Unknown,Stone,Jonin,Earth
Han,Unknown,Unknown,Stone,Jinchuriki,Boil
Roshi,Unknown,Unknown,Stone,Jinchuriki,Lava
Kitsuchi,Unknown,Unknown,Stone,Jonin,Earth
Ishikawa,Unknown,Unknown,Stone,Jonin,Earth
Atsui,Unknown,Unknown,Cloud,Jonin,Lightning
Samui,29,168cm,Cloud,Jonin,Lightning
C,Unknown,Unknown,Cloud,Jonin,Lightning
Karui,17,166cm,Cloud,Chunin,Lightning
Yugito,29,170cm,Cloud,Jinchuriki,Fire
Dodai,Unknown,Unknown,Cloud,Jonin,Lava
Toroi,Unknown,Unknown,Cloud,Jonin,Magnet
Fuu,Unknown,160cm,Waterfall,Jinchuriki,Unknown
Shibuki,Unknown,Unknown,Waterfall,Jonin,Water
Rin,13,143cm,Leaf,Chunin,Water
Asura,Unknown,Unknown,Leaf,Unknown,Wind
Indra,Unknown,Unknown,Leaf,Unknown,Lightning
Hagoromo,Unknown,Unknown,Unknown,Unknown,Yin-Yang
Hamura,Unknown,Unknown,Unknown,Unknown,Yin-Yang
Kaguya,Unknown,Unknown,Unknown,Unknown,Byakugan
Black Zetsu,Unknown,Unknown,Unknown,Unknown,Wood
White Zetsu,Unknown,Unknown,Unknown,Unknown,Wood
Kabuto,19,177cm,Sound,Missing-nin,Earth
Kimimaro,15,166cm,Sound,Missing-nin,Bone
Tayuya,14,148cm,Sound,Missing-nin,Genjutsu
Sakon,14,155cm,Sound,Missing-nin,Unknown
Ukon,14,155cm,Sound,Missing-nin,Unknown
Kidomaru,14,159cm,Sound,Missing-nin,Earth
Jirobo,14,181cm,Sound,Missing-nin,Earth
Chōza,38,183cm,Leaf,Jonin,Earth
Inoichi,38,180cm,Leaf,Jonin,Mind
Shikaku,38,181cm,Leaf,Jonin,Shadow
